country,country_code,year,ideology,ideology_se,affect,affect_se,ideology_observed,affect_observed,notes
Australia,AUS,1991,0.666985072474981,0.01013723756489836,0.6653520536733436,0.01075260291999249,0,0,NA
Australia,AUS,1992,0.6288767167182027,0.01116101234082489,0.7847587445110954,0.00856429731156392,0,0,NA
Australia,AUS,1993,0.6655138718885535,0.01007242732806015,0.6770922229194937,0.01040888493344457,1,1,NA
Australia,AUS,1994,0.6722505249321642,0.00927284711745453,0.7338636113954538,0.00985909446282129,0,0,NA
Australia,AUS,1995,0.6746641640250861,0.01093872935266397,0.6860489992438732,0.01061489245487895,1,0,NA
Australia,AUS,1996,0.7045749704537859,0.00919065803384343,0.6268764364214373,0.00967255897811029,1,1,NA
Australia,AUS,1997,0.622338760363849,0.01208926681881897,0.7482614281798081,0.00908096215955485,0,0,NA
Australia,AUS,1998,0.6161410654652183,0.01020687514894069,0.665843956846026,0.01134767854516156,1,0,NA
Australia,AUS,1999,0.6775914098233222,0.00986862177200821,0.7724748360484528,0.00882912492597748,0,0,NA
Australia,AUS,2000,0.6936709322917864,0.00972928758994946,0.6906862420281886,0.00995352559804533,0,0,NA
Australia,AUS,2001,0.6564149586071147,0.00982254914250157,0.8028960554902418,0.00851089056278454,1,0,NA
Australia,AUS,2002,0.6314668310508498,0.01388200701676178,0.7257159205539311,0.01493218106871127,0,0,NA
Australia,AUS,2003,0.6641913338776062,0.01092501358130248,0.6538817350193418,0.01194948893250786,0,0,NA
Australia,AUS,2004,0.7006794254813379,0.00998274409731557,0.7282481464267955,0.01068426863539334,1,1,NA
Australia,AUS,2005,0.6634870076161853,0.01114239632853461,0.6897688556633836,0.00953233496865418,0,0,NA
Australia,AUS,2006,0.6603737741668843,0.00973785701928935,0.6914672453123001,0.00946167819364246,0,0,NA
Australia,AUS,2007,0.6613303592504423,0.00921206616287068,0.845330461396021,0.0076820158082032,1,1,NA
Australia,AUS,2008,0.7082748015135192,0.01169827568729232,0.6813017677071425,0.00893528204695941,1,1,NA
Australia,AUS,2009,0.6311903857480337,0.01095633801995491,0.7876518114123414,0.0071521135840965,0,0,NA
Australia,AUS,2010,0.6803219061103587,0.00988917233921245,0.7023166247997704,0.00988164130648133,1,0,NA
Australia,AUS,2011,0.680821780283478,0.0088941569613027,0.8509176462830815,0.00742017083999328,0,0,NA
Australia,AUS,2012,0.6624352420935031,0.00903422827086216,0.650101360877344,0.00925434877801547,1,0,NA
Australia,AUS,2013,0.7019936649156302,0.01122120694173799,0.6869889427569674,0.00975446624364051,1,1,NA
Australia,AUS,2014,0.7092231939283871,0.01021204119869296,0.7328629094240662,0.00966557550133086,0,0,NA
Australia,AUS,2015,0.6974784105235945,0.00923751635235179,0.8946307522187302,0.00508116072193217,0,0,NA
Australia,AUS,2016,0.7171975631840785,0.01097771706439502,0.6685244591314665,0.01033360316975226,1,1,NA
Australia,AUS,2017,0.6821143465846308,0.00912376265481068,0.7688427077847558,0.01145110913680029,1,0,NA
Australia,AUS,2018,0.6515818983432876,0.01003219553341746,0.7507689045454365,0.01100096370532093,1,0,NA
Australia,AUS,2019,0.6663389770658615,0.01131349318542851,0.792627340260696,0.00991347680838117,0,0,NA
Austria,AUT,1971,0.6355567598679376,0.00935172658446148,NA,NA,0,NA,NA
Austria,AUT,1972,0.7740108782818023,0.00984594999937572,NA,NA,0,NA,NA
Austria,AUT,1973,0.6449630656426937,0.01234173433577579,NA,NA,0,NA,NA
Austria,AUT,1974,0.6410751201503521,0.00988791854818769,NA,NA,0,NA,NA
Austria,AUT,1975,0.6836804097027738,0.01323944468874147,0.7035332173496266,0.01426901380859273,0,0,NA
Austria,AUT,1976,0.6745840064954318,0.00862858363447844,0.7883234410289556,0.0098512564158514,0,0,NA
Austria,AUT,1977,0.5960151709021799,0.01339929333938482,0.838589818603792,0.00728024654392683,0,0,NA
Austria,AUT,1978,0.8664877451689416,0.00562476933843427,0.6345096946267937,0.01139501841983696,0,0,NA
Austria,AUT,1979,0.6387436121165515,0.00870468141009578,0.7610937749063338,0.0109736811967835,0,0,NA
Austria,AUT,1980,0.7083476094043836,0.00901016319568708,0.939331953098059,0.01354740518347361,0,0,NA
Austria,AUT,1981,0.6603002954777559,0.00954204288641682,0.63162828666928,0.01923708526390129,0,0,NA
Austria,AUT,1982,0.8023580211552185,0.01095031405910484,0.6581275046877227,0.00976660545004035,0,0,NA
Austria,AUT,1983,0.6423661740333271,0.00989431421539877,0.764177909824743,0.00795674515421911,0,0,NA
Austria,AUT,1984,0.6538016070762259,0.01025554138015828,0.7935471346306369,0.00749055385974601,0,0,NA
Austria,AUT,1985,0.6862988581636087,0.00812651488897902,0.6862749683364461,0.01387345398616682,0,0,NA
Austria,AUT,1986,0.6646574514699211,0.01035390084020625,0.7264360682416223,0.00958831557596695,0,0,NA
Austria,AUT,1987,0.6980934158687749,0.01315071123524294,0.7005080397220751,0.00950838183320445,0,0,NA
Austria,AUT,1988,0.6079610347917133,0.01481186925040787,0.6312119353135296,0.02467825165478017,0,0,NA
Austria,AUT,1989,0.6891787290714434,0.00984725631796592,0.9278634480410104,0.00321753052376158,0,0,NA
Austria,AUT,1990,0.6306368165275542,0.0121416151605632,0.6793512838494179,0.01713814610098055,1,0,NA
Austria,AUT,1991,0.6672157164701595,0.00898323876847831,0.7520980023270529,0.01001611641452176,0,0,NA
Austria,AUT,1992,0.6653211088943488,0.01029307595080904,0.8427168936470218,0.00701238127183833,0,0,NA
Austria,AUT,1993,0.6526997105188826,0.00962963403811591,0.6839794897644703,0.01092623348239183,0,0,NA
Austria,AUT,1994,0.6482746100287965,0.01065449325550694,0.9250043885820516,0.00324455084704888,0,0,NA
Austria,AUT,1995,0.5653769525865389,0.00993205325025348,0.6744066086679016,0.01228465599983854,1,0,NA
Austria,AUT,1996,0.6283499293375889,0.01098695573216536,0.8453802616060223,0.00874742027859404,1,0,NA
Austria,AUT,1997,0.6294675090404377,0.01135206621470305,0.7169465278209267,0.01182037903545053,1,0,NA
Austria,AUT,1998,0.6678156074514486,0.01087386435271732,0.7755298391474676,0.00851913712545233,1,0,NA
Austria,AUT,1999,0.6927884195908739,0.01285577567697504,0.7716518910665239,0.00971862443134525,1,0,NA
Austria,AUT,2000,0.6390482060690406,0.01108078954962768,0.6663926256501241,0.00950527435317897,1,0,NA
Austria,AUT,2001,0.6980114036950462,0.01046326124371694,0.8887169490515192,0.03962156724954267,1,0,NA
Austria,AUT,2002,0.6251108113812244,0.01130057772923522,0.7761263869916882,0.01009127707665032,1,0,NA
Austria,AUT,2003,0.5942541199039092,0.01145346718620445,0.6425170567110099,0.01159796323264474,0,0,NA
Austria,AUT,2004,0.6447417032075703,0.01255104663154947,0.8880857052130334,0.02196810730481225,1,0,NA
Austria,AUT,2005,0.6236914927023668,0.01111177552454565,0.9072263416183832,0.00438246016909596,1,0,NA
